Data_Field_EN_Champ_de_la_donnée,Data_Field_FR_Champ_de_la_donnée,Data_Value_Valeur_de_la_donnée,Value_Description_EN_Description_de_la_valeur,Value_Description_FR_Description_de_la_valeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Location,Emplacement de la station,Broad,Broad,Station près de la rivière Broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Location,Emplacement de la station,Mary Lake,Mary Lake,Lac Mary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Location,Emplacement de la station,Owl,Owl,Station près de la rivière Owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Location,Emplacement de la station,Roberge Lake,Roberge Lake,Lac Roberge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,BBR,Broad Beach Ridge,Crête de plage de la rivière Broad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,BCF,Broad Sedge Fen,Tourbière minérotrophe à carex de la rivière Broad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,BRF,Broad Riparian Forest,Forêt riveraine de la station Broad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,BSF,Broad Spruce Forest,Forêt de conifères de la station Broad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,BSH,Broad Shrub,Arbuste de la station Broad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,MLK,Mary Lake Forest,Forêt du lac Mary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,OBR,Owl Beach Ridge,Crête de plage de la rivière Owl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goose Aquatic Assessment-Wapusk National Park
Site Code,Code de site,OCF,Owl Coastal Fen,Tourbière minérotrophe côtière de la rivière Owl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,OSF,Spruce Forest,Pessière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,RIW,Roberge Ice Wedge,Coin de glace du lac Roberge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,RPP,Roberge Peat Plateau,Plateau palsique du lac Roberge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Code,Code de site,RTI,Roberge Tree Island,Île boisée du lac Roberge ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Coastal Beach Ridge,Coastal Beach Ridge,Crête de plage côtière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Coastal Fen,Coastal Fen,Tourbière minérotrophe côtière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Forest,Forest,Forêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Peat Plateau - Ice Wedge,Peat Plateau - Ice Wedge,Plateau palsique - Coin de glace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Peat Plateau - Polygon Centre,Peat Plateau - Polygon Centre,Plateau palsique - Centre du polygone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Riparian Forest,Riparian Forest,Forêt riveraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Sedge Fen,Sedge Fen,Tourbière minérotrophe à carex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Shrub,Shrub,Arbuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Spruce Forest,Spruce Forest,Pessière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecozone,Écozone,Tree Island,Tree Island,Île boisée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Beach,Beach,Plage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Fen,Fen,Tourbière minérotrophe (fen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Forest,Forest,Forêt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Island,Island,île,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Polygon,Polygon,Polygone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Shrub,Shrub,Arbuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Ecosystem,Type d’écosystème,Wedge,Wedge,Coin de glace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
